Schema,Extension,Ext Recode
74,300,1
74,350,2
74,370,2
74,400,2
74,600,2
74,"610,620",2
74,630,2
74,650,2
74,"660,665",7
74,670,7
74,"680,685",7
74,700,2
74,"690,750",7
74,800,7
74,810,2
74,950,9
74,999,9
86,110,1
86,"120,130,140,160,180",1
86,310,1
86,"410,420",1
86,430,1
86,440,1
86,"450,460",1
86,470,1
86,"500,520,540",1
86,590,2
86,680,2
86,"700,750,760",2
86,"740,800",7
86,950,9
86,999,9
72,000,0
72,100,1
72,"300,305,310,320",1
72,"400,450,500",2
72,"600,810",2
72,"800,805",7
72,950,9
72,999,9
52,000,0
52,100,1
52,400,1
52,500,2
52,"510,520",1
52,550,2
52,600,2
52,"610,620",1
52,"680,700,710,750,810",2
52,800,7
52,950,9
52,999,9
53,000,0
53,"100,155",1
53,150,2
53,200,1
53,"250,270",1
53,"300,320,340",1
53,400,1
53,"150,500",2
53,"600,610",2
53,"620,650,670,700,715",2
53,720,7
53,740,7
53,750,7
53,800,7
53,950,9
53,999,9
24,000,0
24,050,0
24,100,1
24,110,1
24,120,1
24,130,1
24,140,1
24,"150,155",1
24,"160,165,170",1
24,"200,210,250,270",1
24,300,1
24,400,1
24,410,1
24,420,2
24,"450,458",2
24,"460,465,475,480,485,488",2
24,500,1
24,550,2
24,"560,565",2
24,"600,610",2
24,650,2
24,660,7
24,"665,670,675,678",2
24,680,2
24,"700,805,810",2
24,800,7
24,950,9
24,999,9
11,000,0
11,"100,105",1
11,200,1
11,300,1
11,"400,405,410",2
11,500,2
11,600,2
11,"640,675",7
11,"645,650",2
11,700,2
11,710,7
11,720,2
11,"730,733",7
11,"735,740,745",2
11,"670,770,810,815",2
11,780,7
11,790,7
11,800,7
11,950,9
11,999,9
56,100,1
56,110,1
56,120,1
56,"300,302,305",1
56,"310,312",1
56,315,1
56,"320,322,325",1
56,400,2
56,410,2
56,420,2
56,600,2
56,610,2
56,620,2
56,800,7
56,950,9
56,999,9
23,000,0
23,050,0
23,100,1
23,110,1
23,"120,125",1
23,122,2
23,130,1
23,140,1
23,"150,155",1
23,"160,165,170,180",1
23,200,1
23,300,1
23,"340,350,360,390,395,398",1
23,"400,415",1
23,420,2
23,430,1
23,"440,450,458",2
23,480,1
23,490,7
23,"500,505,555,560,580",1
23,"550,551,570",2
23,"600,605,610,615",2
23,"650,690",7
23,700,7
23,"710,810",2
23,"800,805",7
23,950,9
23,999,9
44,000,0
44,"100,105",1
44,300,1
44,400,2
44,450,1
44,600,2
44,680,7
44,"700,775,815",2
44,730,7
44,800,7
44,950,9
44,999,9
15,000,0
15,100,1
15,"300,305,310",1
15,350,2
15,"400,402",2
15,405,7
15,"408,450",2
15,"500,503",2
15,"510,515",7
15,"520,625,650,710",2
15,"600,660",7
15,720,7
15,770,7
15,"800,810",7
15,815,2
15,950,9
15,999,9
43,000,0
43,100,1
43,200,1
43,"230,240",1
43,250,2
43,300,1
43,320,2
43,"350,360,365",2
43,375,1
43,390,1
43,395,2
43,400,2
43,450,1
43,"520,530",2
43,"600,605",2
43,"620,625",2
43,650,2
43,660,2
43,"670,690",2
43,680,7
43,685,2
43,695,7
43,700,2
43,720,7
43,730,7
43,735,2
43,"800,810",7
43,815,2
43,950,9
43,999,9
70,000,0
70,100,1
70,150,1
70,160,1
70,200,1
70,300,1
70,310,1
70,320,1
70,330,1
70,400,2
70,450,2
70,"460,470",2
70,"500,550",2
70,600,2
70,700,2
70,750,2
70,800,7
70,810,2
70,950,9
70,999,9
89,000,0
89,100,1
89,200,1
89,300,1
89,400,2
89,"405,410,415,420,490",1
89,450,2
89,480,2
89,500,2
89,"520,560",2
89,600,2
89,620,2
89,"550,700,730",2
89,"650,720",7
89,800,7
89,"810,815",2
89,950,9
89,999,9
46,000,0
46,100,1
46,300,1
46,400,2
46,600,2
46,800,7
46,950,9
46,999,9
76,000,0
76,010,0
76,020,0
76,"050,060,070,080",0
76,100,1
76,200,1
76,"300,450",1
76,400,2
76,600,2
76,"700,810",2
76,800,7
76,950,9
76,999,9
60,000,0
60,"100,150",1
60,200,2
60,"250,300",1
60,400,2
60,410,2
60,420,2
60,"500,510",2
60,520,2
60,"600,620",7
60,"650,700",2
60,"800,850",7
60,950,9
60,999,9
59,000,0
59,100,1
59,110,1
59,"120,125,200",1
59,300,1
59,340,1
59,400,2
59,410,2
59,"420,425",2
59,"450,460,470",1
59,"600,605",2
59,"610,612,615,618",2
59,620,2
59,700,2
59,750,7
59,760,7
59,"800,850",7
59,950,9
59,999,9
